,Scale,Base_scale,Window,AR_lags,AR_scale,AR_exog_scale,Skewness,Kurtosis,DW,DW_absolute,alphas,alphas_pval,betas,betas_pval,gammas,gammas_pval
0,200,50,50,10,0.1,-0.05,0.11435829846279073,2.6303589507353538,1.7468360348943768,0.9228539635454601,0.0498891023656547,0.013648031297193655,0.9126383138473176,1.9273789334209366e-92,0.007132186459394289,0.6609982038758169
1,200,50,50,10,0.1,-0.05,-0.2854075006362691,2.658106447250553,1.7414665294143366,0.93601657475229,0.09700155902149105,2.676421687793742e-06,0.8922101835257195,0.0,-0.03486772169341319,0.0821490369485773
2,200,50,50,10,0.1,-0.05,0.09903958696044315,4.121311971542777,1.659818784131737,0.928504442361477,0.03527154770121277,0.0011006558693146035,0.961256812169715,0.0,-0.007947586142704195,0.49384144192207124
3,200,50,50,10,0.1,-0.05,-0.028876218444220433,2.1596903878409828,1.724809786760776,0.9460891059934605,0.04990774901533791,7.425714803399215e-05,0.9500922509846621,0.0,0.00899581615830728,0.48269891076544347
4,200,50,50,10,0.1,-0.05,-0.22358129865206283,2.9146833544971544,1.6864949600991064,0.9557308442023557,0.028787719284667432,0.0019682067731526184,0.9458417781556424,0.0,-0.009407312865104763,0.4425715856992469
5,200,50,50,10,0.1,-0.05,-0.17516384989053185,2.990222247648666,1.6356663438902994,0.9337536552175608,0.04579681414629722,0.005902332852593125,0.9340721806414685,1.0868874526709033e-206,0.005516104070833031,0.6800360074781794
6,200,50,50,10,0.1,-0.05,0.194223183346065,2.9294481903528995,1.7495469682672975,0.9434691918719658,0.04652695272699256,0.0001209745581777221,0.9401783258168414,0.0,-0.004337509365302245,0.7463357766539864
7,200,50,50,10,0.1,-0.05,-0.23349467713953032,2.144704345914076,1.7452354505807288,0.9337845623873028,0.04645552305390743,4.292816506289332e-06,0.9278645305823949,0.0,0.006754676383138197,0.6332913189127598
8,200,50,50,10,0.1,-0.05,-0.04485575405799255,4.217502102124542,1.7334815651476756,0.9662868771256644,0.037516412155303075,1.6181452883158348e-06,0.9624835878429997,0.0,0.004407930644064052,0.663795846326142
9,200,50,50,10,0.1,-0.05,-0.08005820359583851,2.9605102432677093,1.6852708705846162,0.9604018426965779,0.030367911476503213,0.003396935592600238,0.9696322955065588,0.0,0.0017312297930227132,0.8162334541909267
